Arrays,Write a function in java to find an integer in an array.,"public static boolean find(int arr[], int toFind) {
int index = -1;
for (int i = 0; i < arr.length; i++) {
if (arr[i] == toFind) {
index = i;
break;
}
}
if (index == -1) {
return false;
} else {
return true;
}
}"
Arrays,Write a function in java to find an integer in an array.,"public static boolean find(int arr[], int toFind) {
    for (int i = 0; i < arr.length; i++) {
        if (arr[i] == toFind)
            return true;
    }
    return false;
}"
Strings,Write a function in java to reverse a string without using StringBuilder.,"public static String reverseString(String str) {
        char[] chars = new char[str.length()];
        for (int i = 0; i < str.length(); i++) {
            chars[i] = str.charAt(str.length() - i - 1);
        }
        return new String(chars);
    }"
Strings,Write a function in java to reverse a string without using StringBuilder.,"public static String reverseString(String str) {
char[] chars = new char[str.length()];
int index = 0;
for (int i = str.length() - 1; i >= 0; i--) {
chars[index++] = str.charAt(i);
}
return new String(chars);
}"
Strings,Write a function in java to reverse a string without using StringBuilder.,"public static String reverseString(String str) {
    char[] chars = new char[str.length()];
    for (int i = 0; i < str.length(); i++) {
        chars[i] = str.charAt(str.length() - i - 1);
    }
    return new String(chars);
}"
Strings,Write a function in java to reverse a string without using StringBuilder.,"public static String reverseString(String str) {
    char[] chars = new char[str.length()];
    int index = 0;
    for (int i = str.length() - 1; i >= 0; i--) {
        chars[index++] = str.charAt(i);
    }
    return new String(chars);
}"
Operators,Write a function in java to add 2 integers.,"public static int add(int a, int b){
    return a + b;
}"
Strings,Write a function in java to reverse a string without using StringBuilder.,"public static String reverseString(String str) {
    String reversed = """";
    for (int i = str.length() - 1; i >= 0; i--) {
        reversed += str.charAt(i);
    }
    return reversed;
}"
Strings,Write a function in java to reverse a string without using StringBuilder.,"public static String reverseString(String str) {
        char[] chars = new char[str.length()];
        int i = 0;
        for (int j = 0; j < str.length(); j++) {
            chars[i] = str.charAt(str.length() - j - 1);
            i++;
        }
        return new String(chars);
    }"
Strings,Write a function in java to reverse a string without using StringBuilder.,"public static String reverseString(String str) {
char[] chars = new char[str.length()];
int i = 0;
for (int j = str.length() - 1; j >= 0; j--) {
chars[i] = str.charAt(j);
i++;
}
return new String(chars);
}"
Strings,Write a function in java to reverse a string without using StringBuilder.,"public static String reverseString(String str) {
    if (str == null || str.length() <= 1) {
      return str;
    }
    char[] chars = new char[str.length()];
    int index = 0;
    for (int i = str.length() - 1; i >= 0; i--) {
      chars[index++] = str.charAt(i);
    }
    return new String(chars);
  }"
